2019-03-12 15:55:11 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:31:19 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:10 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:12 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:13 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:13 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:14 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:14 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:16 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:18 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:19 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:19 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:20 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:24 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
2019-03-12 16:37:25 DEBUG DatabaseImpl:1001 - Finished reading system catalog.  Tables: [Admin, AlignCache, AMessages, APackages, Calendar, CommentHistory, Comments, ContactInfos, Customers, CustomProjectProperties, DataOriginInfo, DBHistory, DocSettings, DocTopics, DocumentHistory, Documents, DocVersions, DSEProperties, Events, ExtendedBlobs, Fonts, GlobalSettings, GridServers, GridServerSubTasks, GridServerTaskPackages, GridServerTasks, GridServerTasksHistory, GroupRatings, GroupRights, Groups, GroupTasks, LangAttachments, LanguageHistory, LanguageNames, Languages, LangVersions, Licenses, Logins, MatchHistory, Objects, ObjectsIdMap, ParagraphAttr, Paragraphs, ParagraphStates, PartitionPackages, PartitionProperties, Partitions, PreTranslations, ProcessedPackages, Profiles, ProjectAttachments, ProjectProperties, ProjectReports, Projects, PropCategories, PropPicklistValues, QMCheckLists, QMChecks, QMCriteria, QMCriteriaListItems, QMCriteriaLists, Ratings, Reports, RestrictedGroups, RightObjects, RightRules, Rights, Sentences, Sequences, ServerContexts, ServerContracts, ServerRatings, SharedBinaryFiles, StyleTemplates, TaskEnvironment, TaskHistory, TaskPartitions, TaskQMHistory, Tasks, TaskTemplates, Terms, Traffic, TrafficObjects, TransHistory, UserContracts, UserData, UserDataLog, UserGroups, Users, WanTaskSettings, Workflows] (Db=unit.mdb)
